Text_ID,Text,Default_Polarity,Aspect,Source,Sarcasm,P1,P2,P3,P4,P5,P6,P7
25,"I would like to live in Manchester, England. The transition between Manchester and death would be unnoticeable.",-1,Manchester city,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
26,"I have never killed a man, but I have read many obituaries with great pleasure.",-1,Obituaries,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,1,1,-1,-1,-1
27,You have delighted us long enough.,-1,You,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,1,-1,-1,-1,1
28,"A modest little person, with much to be modest about.",1,Person,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,1,1,-1,-1,-1,1,1
29,He has never been known to use a word that might send a reader to the dictionary.,-1,His vocabulary,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,1,1
30,He loves nature in spite of what it did to him.,-1,His condition,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,1,1
31,"The old system of having a baby was much better than the new system, the old system being characterized by the fact that the man didn't have to watch.",-1,Delivery sight,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,1,-1
32,"Love: a temporary insanity, curable by marriage.",-1,Love,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,1,-1,1,-1,1,-1
33,Man is the only animal that can remain on friendly terms with the victems he intends to eat until he eats them.,-1,Man,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
34,Every time I look at you I get a fierce desire to be lonesome.,-1,You,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,1,-1,-1
35,The trouble with a kitten is that it eventually beomes a cat.,-1,Cat,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
36,I wish we were better strangers.,-1,You,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
37,I'll always cherish the original misconception I had of you.,-1,You,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,1,-1,-1,-1,-1,-1,-1
38,I tended to place my wife under a pedestal.,-1,Wife,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
39,We didn't lose the game; we just ran out of time.,-1,Result of the game,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,1
40,When I was a kid I used to pray every night for a new bicycle. Then I realised that the Lord doesn't work that way so I stole one and asked Him to forgive me.,-1,Lord,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,1
41,He never slows down to think; it's too painful to spend times with his own thoughts.,-1,His thoughts,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
42,The problem with common sense is that most people are morons.,-1,Common sense,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
43,Personal experience makes a believer out of anyone; that explains the hordes of evolution deniers.,-1,Evolution,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,1,-1,1,-1
44,They worship the ground that he walks away from.,-1,He' as a person,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,1,-1,-1,-1,-1,1
45,"I find it rather easy to portray a businessman. Being bland, rather cruel and incompetent comes naturally to me.",-1,Businessman,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,1,1
46,Sometimes the road less traveled is less traveled for a reason.,-1,The 'road',http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,1,-1
47,"If you don't read the newspaper, you are uninformed; if you do read the newspaper, you are misinformed.",-1,Newspapers,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
48,"I don't know if God exists, but it would be better for His reputation if He didn't.",-1,God,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,1,-1,-1,-1,-1,-1
49,Artificial intelligence is no match for natural stupidity.,-1,Artificial Intelligence,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,1,-1,-1,-1,-1,1
50,"100,000 sperm and you were the fastest?",-1,You,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,1,1,-1,-1,1,-1,-1
51,The consumer isn't a moron; she is your wife.,-1,Wife,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
52,I thank God that you are unique!,1,You,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,1,1,-1,1,1,1,1
53,"You can be whatever you want; however, in your case you should probably aim low.",-1,You,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
54,Do something productive. Stop being yourself.,-1,You' as an employee,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,1,-1,-1
55,"I want either less corruption, or more chance to participate in it.",-1,Corruption,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,1,-1,-1,-1,-1,-1,-1
56,The time for action is past! Now is the time for senseless bickering!,-1,The Present,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,1,-1,-1,-1
57,A consensus means that everyone agrees to say collectively what no one believes individually.,-1,Consensus,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,1,-1,-1,-1,-1,1,1
58,"I would like to take you seriously, but to do so would be an affront to your intelligence.",-1,Your intelligence,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
59,Martyrdom: The only way a man can become famous without ability.,-1,Martyrdom,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,1,-1,1
60,I sometimes think that God in creating man somewhat overestimated his ability.,-1,Men,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,1,-1,-1,-1,-1,-1,-1
61,One should always be in love. That is the reason one should never marry.,-1,Marriage,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,1,-1
62,"The world is a stage, but the play is badly cast.",-1,World,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,1,-1,-1,1,-1,-1
63,Why was I born with such contemporaries?,-1,My contemporaries,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
64,"Facts are stubborn, but statistics are more pliable.",1,Statistics,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,1,1,1,1,-1,1,1
65,I have been complimented many times and they always embarrass me; I always feel that they have not said enough.,-1,Myself,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,1,1,-1,-1,-1
66,I never let schooling interfere with my education.,-1,Schooling,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,1,-1,-1
67,Patriot: the person who can holler the loudest without knowing what he is hollering about.,-1,Patriot,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,1,-1,-1,-1,-1,-1
68,We have the best government that money can buy.,-1,Government,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,1,-1,-1,-1,-1,-1,-1
69,"Even if you do learn to speak correct English, whom are you going to speak it to?",-1,The listener,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
70,When I was a boy I was told that anybody could become President; I'm beginning to believe it.,-1,President,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,1,1,-1,-1,-1,-1,-1
71,99% of lawyers give the rest a bad name.,-1,Lawers,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
72,Advertisements contain the only truths to be relied on in a newspaper.,-1,Newspapers,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,1,-1,-1,1,-1,-1,-1
73,Any girl can be glamorous. All you have to do is stand still and look stupid.,-1,Glamour,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
74,"Drawing on my fine command of the English language, I said nothing.",-1,Proficiency,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
75,Electricity is really just organized lightning.,1,Electricity,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,1,1,1,1,-1,1,1
76,I don't want to achieve immortality through my work. I want to achieve it through not dying.,-1,work,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
77,I haven't spoken to my wife in years. I didn't want to interrupt her.,-1,wife,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,1,-1,-1
78,I was married by a judge. I should have asked for a jury.,-1,marriage,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
79,"My mechanic told me, 'I couldn't repair your brakes, so I made your horn louder.'",-1,Mechanic,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,-1
80,"The National Rifle Association says, 'Guns don't kill people. People do'. But I think the gun helps.",1,Guns,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,1,-1,-1,1,1,1
81,She's the kind of girl who climbed the ladder of success wrong by wrong.,-1,She,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,-1,1
82,"Sambit and team, in your enthusiasm to create something new and different, you have ended up ruining a perfectly fine, immensely loved website",-1,Website,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,1,-1,1,-1,-1,1,-1
83,Expect a 1260x254 pixel ad at the top! We will love the website for sure.,-1,Website,http://www.sarcasmsociety.com/sarcastic-quotes.html,Yes,-1,-1,-1,-1,-1,1,-1
84,"Oh wow broken up for days and you've moved on already, thanks, don't feel like shit at all.",-1,You,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
85,Good thing I have work till close tonight,-1,Work,SocialMedia,Yes,-1,-1,-1,1,1,-1,-1
86,Can't wait to go to class today,1,class,SocialMedia,Yes,1,1,1,-1,1,-1,1
87,No my roommate playing out of tune Zeppelin songs right outside my door isn't annoying. Not at all,-1,Roommate,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
88,thank god it's raining so now my hair will look fabulous for my senior pictures,-1,Hair,SocialMedia,Yes,1,-1,-1,-1,-1,-1,-1
89,Awkward eye contact is just fantastic,-1,eye contact,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,1
90,I love when I see people using the elevator at the gym,-1,people,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
91,Doesn't everyone love getting allergy shots once a week?,-1,allergy,SocialMedia,Yes,-1,-1,-1,-1,1,-1,-1
92,I Love when you don't have two minutes to send me a quick text.,-1,love,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
93,yay for awkward 2 hour breaks between classes,-1,break,SocialMedia,Yes,-1,-1,-1,-1,1,-1,1
94,Can't wait until Friday when we get to wear our band uniforms in 39 degree weather,-1,weather,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
95,You know what I love doing? Rehashing old arguments.,-1,old arguments,SocialMedia,Yes,-1,-1,-1,-1,1,-1,-1
96,"that's cool, dangelos, take your time making my food. it's not like I have a time limit for my break or anything.",-1,food making,SocialMedia,Yes,-1,-1,1,-1,1,-1,-1
97,"Oh hey, let me talk to another dentist about our kids field trips while i poke the shit outta your mouth!' I love the dentist.",-1,dentist,SocialMedia,Yes,-1,-1,-1,-1,1,-1,-1
98,I just love having my eyes water when I sneeze.,-1,eyes,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
99,Awsome homework on the first day. That's just what I wanted,-1,homework,SocialMedia,Yes,1,-1,-1,-1,-1,-1,-1
100,"I love men that apologize and don't know why they've upset you in the first place, makes me smile to know you listened and adjusted",1,men,SocialMedia,Yes,1,-1,-1,-1,1,1,1
101,Yep that rapping guy TOTALLY makes me want to go to your school.,-1,Schooling,SocialMedia,Yes,1,1,-1,-1,1,-1,-1
102,Locking your keys in your car at school is the best feeling in the entire world.,-1,locked keys,SocialMedia,Yes,-1,-1,1,-1,-1,-1,-1
103,I love waiting in long lines for a parking permit,-1,waiting,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
104,My husband has two days off from work. We're spending it in the the hospital,-1,hospital,SocialMedia,Yes,-1,-1,-1,-1,1,-1,-1
105,If I could put into words how much I love waking up at 5 am on Tuesday's I would.,-1,waking up early,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
106,"I love when I'm doing dishes at work & the water spills all over me, its the best .",-1,water spilling,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
107,Make sure you take a really long time to text me back.,-1,Your texting habit,SocialMedia,Yes,-1,-1,-1,-1,1,-1,-1
108,My anatomy teacher decided that its the first day so lets stay in class for the entire 4 hours. awesome,-1,teacher,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
109,I just love freaking being ignored and not texted back. 3 people ignored me today 3! I love it it always makes my day.,-1,My present state,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
110,absolutely delighted to still be awake at this hour.,-1,awake,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
111,That plan to go to bed earlier in preparation for school went well.,-1,going to bed earlier,SocialMedia,Yes,1,1,-1,-1,-1,-1,1
112,So excited to get up at 5 a.m. tomorrow!!,-1,waking up early,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
113,Could I be more glaaaaad that everyone in my house is in such a great mooood?,-1,Mood,SocialMedia,Yes,1,1,1,-1,-1,-1,-1
114,Soo excited to try to sleep with my back hurting,-1,Health,SocialMedia,Yes,-1,-1,-1,-1,1,-1,-1
115,Wow! Thanks for the option of high speed internet at $590 for 6 months to save $10.,-1,Internet Scheme,SocialMedia,Yes,-1,-1,1,-1,1,-1,-1
116,I'm ending my summer off great sitting inside all day doing nothing,-1,My present state,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
117,I'd like to give a shout out to all the people who text me for a minute then stop responding. You make dreams a reality,-1,people,SocialMedia,Yes,-1,-1,-1,-1,1,-1,-1
118,"Well that was fun. Well, really?",-1,Fun,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
119,Yaay for going into to grade 12 but looking like a niner,-1,Looks,SocialMedia,Yes,-1,-1,-1,-1,1,-1,-1
120,Can't wait to wake up early to babysit!,-1,Baby sitting,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
121,I don't think I'll be able to make it through a whole day tomorrow at school without breaking down. So that's cool.,-1,Tomorrow's school,SocialMedia,Yes,-1,-1,-1,-1,1,-1,-1
122,I love it when you put your hand in my face while you sleep,-1,Your sleeping habit,SocialMedia,Yes,-1,-1,1,-1,-1,-1,-1
123,I love feeling like a second choice.,-1,Choice,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
124,So happy to just find out IIT decided to reschedule all my lectures and tutorials for me to night classes at the exact same times!,-1,lecture timings,SocialMedia,Yes,1,-1,-1,1,-1,-1,-1
125,I really like it when I ask an important question &don't get an answer. I hope this keeps up I like it so much :),-1,Response,SocialMedia,Yes,-1,-1,-1,1,-1,-1,-1
126,I love when my retainers are super tight and make me talk so attractively!,-1,retainers,SocialMedia,Yes,1,-1,-1,1,1,-1,-1
127,20 minutes of laundry at 1 am. Awesome,-1,laundry,SocialMedia,Yes,-1,-1,1,-1,-1,-1,-1
128,So glad i'm losing sleep over someone I barely know.,-1,My present state,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
129,Who dosent want to be invited to a foam party with a bunch of kids running around half naked.,-1,foam party,SocialMedia,Yes,-1,1,-1,-1,1,-1,-1
130,Looking forward to staring at the ceiling until I fall asleep,-1,Sleep habit,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
131,My train got cancelled. Good way to start the day!,-1,Day,SocialMedia,Yes,1,-1,-1,1,-1,-1,-1
132,"packing is so much fun! Infact, my favorite time pass..",-1,packing,SocialMedia,Yes,1,-1,1,-1,1,-1,-1
133,Just another original apple invention. A notification shade that keeps popping up. Where do they come up with this stuff.,-1,notification shade,SocialMedia,Yes,-1,1,-1,-1,1,-1,-1
134,"Yeah, just ignore me. That TOTALLY the right way to handle this!",-1,this',SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
135,Walkin up 20 flights of stairs quickly just 2 get 2 work.,-1,Work,SocialMedia,Yes,-1,-1,-1,-1,1,-1,-1
136,"Yes you hotel guests, please take your pet elephant for a walk outside the room at 4am, when normal people are trying to sleep",-1,Guests,SocialMedia,Yes,-1,-1,-1,-1,1,-1,-1
137,Injections are fun. Who does not want them?,-1,injections,SocialMedia,Yes,-1,-1,-1,-1,1,-1,-1
138,"Mirrors cant talk, lucky for you they cant laugh either.",-1,You,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
139,Zombies eat brains. Youre safe.,-1,You,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
140,"I dont believe in plastic surgery, But in your case, Go ahead",-1,You,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
141,"If moneys the god people worship, Id rather go worship the devil instead.",-1,Money,SocialMedia,Yes,-1,-1,-1,-1,-1,1,-1
142,Nobody should have to die to a soundtrack like this,-1,Sountrack,SocialMedia,Yes,1,-1,-1,-1,-1,-1,-1
143,"I was debating on jumping and ending my despair over losing my best friend, but I decided to call you instead.",-1,You,SocialMedia,Yes,-1,-1,-1,1,1,1,-1
144,Aren't you supposed to say that everything is going to be okay?,-1,Everything,SocialMedia,Yes,1,-1,-1,-1,-1,-1,-1
145,"Son, my dad said, every man needs a bitter, resentful woman in his life. Because there's nothing more touching to a mother's heart than to know that her son thinks of her constantly.",1,Women,SocialMedia,Yes,1,1,-1,1,-1,1,-1
146,The great thing about the Internet isn't that you can reconnect with old friends or stay up to date with developing world events or send pictures of newborns immediately around the world. It is simply that you can log on to jcpenney.com from anywhere and order fresh underwear immediately after seeing your life flash before your eyes.,-1,Internet,SocialMedia,Yes,1,1,-1,-1,-1,1,-1
147,You're one of those people who fall off a tree and never quite reach the ground.,-1,You,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
148,"Celaena?' Sam asked into the dark. 'Should I worry about going to sleep?' \n She blinked, then laughed under her breath. At least Sam took her threats somewhat seriously.",-1,Her importance,SocialMedia,Yes,1,-1,-1,-1,-1,-1,-1
149,"I do not agree with what you have to say, but I will defend till death your right to say it",1,Your saying,SocialMedia,Yes,1,1,1,-1,1,1,1
150,And Ill wager you thought him the handsomest thing that ever you saw in your life.,-1,His looks,SocialMedia,Yes,-1,1,1,-1,-1,-1,1
151,My life is worth living said the Scorpion and showed his sting,-1,Life,SocialMedia,Yes,1,-1,-1,-1,-1,-1,1
152,Kelly was not going to remove her glasses. No matter what the television said about it being safe to do during the 'totality'. The television also told her she wouldn't age if she bought expensive creams and pills,-1,Television for education,SocialMedia,Yes,-1,-1,-1,-1,1,-1,-1
153,Ah yes. Lord save me from lovely young women.,-1,My love llife,SocialMedia,Yes,-1,-1,-1,1,1,-1,-1
154,It is not necesssary to understand things in order to argue about them.,-1,Arguments,SocialMedia,Yes,1,-1,-1,-1,1,-1,-1
155,"As far as bad ideas went, this stole the prize.",-1,this idea,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
156,"Look at the world and think about a catastrophic disaster where the cell phone towers went dead. How would you ever be able to 'TEXT"" your next door neighbor to see if they were okay",-1,Cellphone's effect on life,SocialMedia,Yes,-1,-1,1,-1,-1,-1,-1
157,The cleanest civilization Ive ever seenand the number one thing you pack for a wedding is a jar of dirt?,-1,cleanliness,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
158,"I love having a runny nose. No really, this is just what I wanted",-1,health,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
159,Went to sleep at 5pm woke up at 2 a.m. Jet lag is just an all round good time,-1,jet lag,SocialMedia,Yes,1,-1,1,-1,-1,-1,-1
160,"Didn't even sleep on a pillow, this is gonna be fun for me with all this damn pain",-1,Health,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,1
161,Getting a plastic fish thrown at me by a one and a half year old is a great experience,-1,child,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
162,I love it whenever my brother gets up and turns on all the lights.,-1,Brother turning on lights,SocialMedia,Yes,1,-1,-1,-1,-1,-1,-1
163,I feel like I'm going to throw up. Today is going to be grand.,-1,Today,SocialMedia,Yes,-1,-1,-1,-1,1,-1,-1
164,"Lots of windshield time today,can't wait.",-1,winter,SocialMedia,Yes,1,-1,-1,-1,1,-1,-1
165,Abstinence-only sex education dominates in state with highest teen pregnancy. Seems to be working,-1,abstinence-only sex education,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,1
166,Great way to start the morning by dumping makeup all over myself!,-1,makeup,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
167,It feels great to know my car is on E and gas is 4 bucks a gallon,-1,price of gas,SocialMedia,Yes,-1,-1,-1,1,-1,-1,-1
168,Wow algebra is the best way to start off my day.,-1,algebra,SocialMedia,Yes,1,-1,-1,-1,1,-1,-1
169,I always know its gonna be a good day when I wake up late and literally have 10 minutes to get ready,-1,Today,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
170,Ahh it makes me feel really special and loved when you don't text me back!,-1,Your texting habit,SocialMedia,Yes,-1,-1,-1,-1,1,-1,-1
171,My oatmeal exploded in the microwave. What a great start to my day!,-1,Start of the day,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
172,Weed wippin in the rain and lightning! Always fun and not dangerous!,-1,weed,SocialMedia,Yes,1,-1,-1,-1,1,-1,-1
173,Thank you alarm clock for never going off.,-1,alarm clock,SocialMedia,Yes,-1,-1,-1,-1,1,-1,-1
174,"wow perfect then you need wait at home ready , waiting their call, very funny",-1,waitnig,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
175,"your lucky, most of my teachers said I would always have homework. Yay!",-1,homework,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
176,I love it when the bus smells like cat piss and dirty laundry!,-1,the bus,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
177,Yay. School. If you could only see the joy on my face.,-1,school,SocialMedia,Yes,-1,-1,1,-1,-1,-1,-1
178,"Going from one babysitting job to another babysitting job, then another babysitting job today. This will be fun.",-1,Switching job,SocialMedia,Yes,1,-1,-1,-1,1,-1,-1
179,"Wow these girls are talking about smoking, you'r so cool.",-1,smoking,SocialMedia,Yes,-1,-1,-1,1,1,-1,-1
180,Gotta love spending lunch break queuing at the bank,-1,queues in the bank,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
181,morning people. roadtrip today. unfortunately that means sitting in the car with my family for 3 or 4 hours. yay!,-1,road trip with family,SocialMedia,Yes,-1,-1,1,1,-1,-1,-1
182,Gee wiz what a great day so far. You can cut the tension with a knife and they think im faking,-1,Day so far,SocialMedia,Yes,-1,-1,-1,-1,-1,-1,-1
183,Have you ever been so cool that the only way you know how to park your car is by backing it into a parking spot?,-1,My parking knowledge,SocialMedia,Yes,-1,1,-1,-1,-1,-1,1
184,Haha wow it's amazing how some seniors can leave after fourth period,-1,seniors,SocialMedia,Yes,1,-1,-1,1,-1,-1,-1
185,"Oh no, it's okay. I would love to just sit around waiting in financial aid all day because its not like I have anything else to do",-1,waiting,SocialMedia,Yes,1,-1,-1,-1,-1,-1,-1
186,What beautiful passport photos I just took. Should put it as my profile pic to scare friends,-1,Photo,SocialMedia,Yes,1,-1,-1,-1,-1,-1,-1
